identifier,type,id,operator,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,socket:chademo,socket:chademo:kw,socket:tesla_destination,socket:tesla_destination:kw,socket:type2,socket:type2:kw,socket:type2_cable,socket:type2_cable:kw,socket:type2_combo,socket:type2_combo:kw
LRS-00231,unassigned_point,node/13787682840,EDP,2,0.0,yes,no,24/7,Mobi.E,3,262.0,yes,1,22.0,240.0,,,,,1,22.0,,,2,120.0
LRS-00230,unassigned_point,node/13787682841,EDP,1,0.0,yes,no,24/7,Mobi.E,2,210.0,yes,1,50.0,160.0,1,50.0,,,,,,,1,160.0
LRS-00229,unassigned_point,node/13787682842,EDP,2,0.0,yes,no,24/7,Mobi.E,3,262.0,yes,1,22.0,240.0,,,,,1,22.0,,,2,120.0
LRS-00228,unassigned_point,node/13787682843,EDP,1,0.0,yes,no,24/7,Mobi.E,2,210.0,yes,1,50.0,160.0,1,50.0,,,,,,,1,160.0
SNT-00229,unassigned_point,node/13787687948,EDP,2,0.0,yes,no,24/7,Mobi.E,3,142.0,yes,1,22.0,120.0,,,,,1,22.0,,,2,60.0
SNT-00228,unassigned_point,node/13787687949,EDP,2,0.0,yes,no,24/7,Mobi.E,2,240.0,yes,0,0.0,240.0,,,,,,,,,2,120.0
ABF-00162,unassigned_point,node/13787828654,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
ABF-00159,unassigned_point,node/13787828655,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
ABF-00157,unassigned_point,node/13787828656,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
ABF-00155,unassigned_point,node/13787828657,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
ABF-00154,unassigned_point,node/13787828658,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
CTB-00073,unassigned_point,node/13787828659,Moon,2,150.0,yes,no,24/7,Mobi.E,2,300.0,no,0,0.0,150.0,,,,,,,,,2,150.0
VLG-00058,unassigned_point,node/13787838181,Iberdrola,2,0.0,yes,no,09:00-21:30,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
VLG-00057,unassigned_point,node/13787838182,Iberdrola,2,0.0,yes,no,09:00-21:30,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
TRF-00022,unassigned_point,node/13787859525,REMO,2,0.0,yes,yes,24/7,Mobi.E,2,400.0,yes,0,0.0,400.0,,,,,,,,,2,200.0
TRF-00022,unassigned_point,node/13787859536,REMO,2,0.0,yes,yes,24/7,Mobi.E,2,400.0,yes,0,0.0,400.0,,,,,,,,,2,200.0
Continente Bom Dia Baguim do Monte,unassigned_point,node/13787916133,Continente,2,0.0,yes,no,24/7,Continente Plug&Charge,2,100.0,yes,0,0.0,100.0,,,,,,,,,2,50.0
SCG-00001,unassigned_point,node/13789443695,Mobiletric,2,0.0,yes,no,24/7,Mobi.E,3,143.0,yes,1,43.0,100.0,1,50.0,,,,,1,43.0,1,50.0
Continente Bom Dia Santo André,unassigned_point,node/13789547975,Continente,2,0.0,yes,no,24/7,Continente Plug&Charge,2,14.8,yes,0,0.0,14.8,,,,,,,2,7.4,,
Continente Bom Dia Santo André,unassigned_point,node/13789547976,Continente,2,0.0,yes,no,24/7,Continente Plug&Charge,2,14.8,yes,0,0.0,14.8,,,,,,,2,7.4,,
Continente Bom Dia Póvoa de Santa Iria,unassigned_point,node/13790033017,Continente,2,0.0,yes,no,08:00-21:00,Continente Plug&Charge,3,290.0,yes,1,50.0,240.0,1,50.0,,,,,,,2,120.0
Continente Bom Dia Póvoa de Santa Iria,unassigned_point,node/13790033018,Continente,2,0.0,yes,no,08:00-21:00,Continente Plug&Charge,2,100.0,yes,0,0.0,100.0,,,,,,,,,2,50.0
Continente Bom Dia Póvoa de Santa Iria,unassigned_point,node/13790033023,Continente,2,0.0,yes,no,08:00-21:00,Continente Plug&Charge,2,14.8,yes,0,0.0,14.8,,,,,,,2,7.4,,
Continente Bom Dia São João de Ver,unassigned_point,node/13790046590,Continente,2,0.0,yes,no,08:30-21:00,Continente Plug&Charge,2,14.8,yes,0,0.0,14.8,,,,,,,2,7.4,,
Continente Modelo Anadia,unassigned_point,node/13790052966,Continente,2,0.0,yes,no,24/7,Continente Plug&Charge,2,14.8,yes,0,0.0,14.8,,,,,,,2,7.4,,
Continente Modelo Lamego,unassigned_point,node/13790054020,Continente,2,0.0,yes,no,08:00-22:00,Continente Plug&Charge,2,14.8,yes,0,0.0,14.8,,,,,,,2,7.4,,
Continente Modelo Lamego,unassigned_point,node/13790054023,Continente,2,0.0,yes,no,08:00-22:00,Continente Plug&Charge,2,14.8,yes,0,0.0,14.8,,,,,,,2,7.4,,
Continente Bom Dia Póvoa de Lanhoso,unassigned_point,node/13790055273,Continente,2,0.0,yes,no,24/7,Continente Plug&Charge,2,14.8,yes,0,0.0,14.8,,,,,,,2,7.4,,
Continente Modelo Mirandela,unassigned_point,node/13790061093,Continente,2,0.0,yes,no,24/7,Continente Plug&Charge,2,14.8,yes,0,0.0,14.8,,,,,,,2,7.4,,
Continente Modelo Mirandela,unassigned_point,node/13790061096,Continente,2,0.0,yes,no,24/7,Continente Plug&Charge,2,14.8,yes,0,0.0,14.8,,,,,,,2,7.4,,
LSB-01325,unassigned_point,node/13798093494,Cepsa,1,150.0,yes,yes,24/7,Mobi.E,1,150.0,no,0,0.0,150.0,,,,,,,,,1,150.0
node/13798194910,unassigned_point,node/13798194910,PROHS,1,0.0,private,,,,1,22.0,no,0,0.0,22.0,,,,,1,22.0,,,,
node/13798194911,unassigned_point,node/13798194911,PROHS,1,0.0,private,,,,1,22.0,no,0,0.0,22.0,,,,,1,22.0,,,,
node/13798194912,unassigned_point,node/13798194912,PROHS,2,0.0,private,,,,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
